Protein,Breast,Colon,Ewing_sarcoma,Melanoma,Ovary_patientsample
Q96C19,0,1,0,1,1
Q96CN7,1,1,0,0,1
Q96CT7,1,0,1,0,1
Q96FJ2,1,1,0,0,1
Q96MT7,1,0,1,0,1
Q96RS6,1,1,0,0,1
Q99471,1,1,0,0,1
Q99729,0,1,0,1,1
Q99733,0,1,0,1,1
Q99873,1,1,0,0,1
Q9H0D6,0,1,1,0,1
Q9H3K6,1,0,0,1,1
Q9H6Z4,0,1,1,0,1
Q9H832,1,1,0,0,1
Q9H910,1,0,1,0,1
Q9NQG5,0,1,0,1,1
Q9NSD9,1,1,0,0,1
Q9NTJ3,1,1,0,0,1
Q9NUU7,0,1,1,0,1
Q9NYL9,1,1,0,0,1
Q9P2J5,1,1,0,0,1
Q9UHX1,1,1,0,0,1
Q9UHY7,0,1,0,1,1
Q9UIA9,0,1,1,0,1
Q9UK76,1,0,1,0,1
Q9ULC4,1,1,0,0,1
Q9UMS4,1,1,0,0,1
Q9UQE7,0,1,1,0,1
Q9Y224,1,1,0,0,1
Q9Y262,1,1,0,0,1
Q9Y285,1,1,0,0,1
Q9Y333,1,1,0,0,1
Q9Y3C6,1,1,0,0,1
Q9Y3I0,1,1,0,0,1
Q9Y570,1,1,0,0,1
Q9Y6E2,0,1,1,0,1
Q9Y6M1,1,1,0,0,1
A0AVT1,0,1,0,0,1
A2PYH4,0,0,1,0,1
A2RUB6,0,0,1,0,1
A6NDG6,0,1,0,0,1
A8MW92,1,0,1,0,0
B5ME19,1,1,0,0,0
O00139,0,0,1,0,1
O00148,1,1,0,0,0
O00151,1,0,0,0,1
O00233,1,0,0,0,1
O00244,0,0,0,1,1
O00267,1,0,0,0,1
O00273,1,0,0,0,1
O00422,0,0,1,0,1
O00629,0,1,0,0,1
O14497,0,0,1,0,1
O14530,0,1,0,0,1
O14744,0,1,0,0,1
O14841,0,0,1,0,1
O14929,0,1,0,0,1
O14979,0,0,1,0,1
O14980,0,1,0,0,1
O15042,0,1,0,0,1
O15231,1,0,0,0,1
O15327,1,0,0,0,1
O15347,1,0,0,0,1
O15514,0,1,0,0,1
O43148,1,0,0,0,1
O43290,0,0,1,0,1
O43592,0,1,0,0,1
O43617,0,1,0,0,1
O43660,0,1,0,0,1
O43684,0,1,0,0,1
O43768,0,0,1,0,1
O43809,0,1,0,0,1
O43818,0,1,0,0,1
O60264,0,1,0,0,1
O60341,0,0,1,0,1
O60832,0,0,1,0,1
O60925,1,0,1,0,0
O75531,1,0,0,0,1
O75534,1,0,0,0,1
O75592,1,0,0,0,1
O75643,0,1,0,0,1
O75822,0,0,1,0,1
O75937,1,0,0,0,1
O94808,0,1,0,0,1
O94874,0,1,0,0,1
O94903,0,1,0,0,1
O94915,1,0,0,0,1
O95232,0,1,0,0,1
O95394,1,0,0,0,1
O95447,0,1,0,0,1
O95777,0,1,0,0,1
O95816,0,1,0,0,1
O95989,0,1,0,0,1
P02795,0,0,1,1,0
P04183,0,1,0,0,1
P05386,1,1,0,0,0
P06454,0,0,0,1,1
P08397,0,1,0,0,1
P08579,0,1,0,0,1
P09455,0,1,0,0,1
P09661,0,1,0,0,1
P09914,1,0,0,0,1
P09936,0,0,1,0,1
P10412,1,1,0,0,0
P11137,1,0,0,0,1
P11387,0,1,0,0,1
P11388,0,0,1,0,1
P11908,1,1,0,0,0
P15170,0,0,1,0,1
P15374,1,0,0,0,1
P15559,0,1,0,0,1
P15927,0,1,0,0,1
P17480,0,0,1,0,1
P18621,0,1,0,0,1
P19388,0,1,0,0,1
P19971,0,1,0,0,1
P20290,0,1,0,0,1
P23193,1,0,0,0,1
P23610,0,1,0,0,1
P23921,0,1,0,0,1
P26368,0,1,0,0,1
P28340,0,0,1,0,1
P30566,0,1,0,0,1
P30876,0,1,0,0,1
P31350,0,1,0,0,1
P31942,1,0,0,0,1
P32321,1,0,0,0,1
P33240,0,1,0,0,1
P35813,0,1,0,0,1
P36959,1,0,0,0,1
P37235,0,1,0,0,1
P40938,1,0,0,0,1
P42694,0,0,1,0,1
P43378,1,0,0,0,1
P46013,0,1,0,0,1
P46060,0,1,0,0,1
P46063,0,0,1,0,1
P46087,0,0,1,0,1
P46109,0,1,0,0,1
P46821,1,0,0,0,1
P47224,0,1,0,0,1
P48507,1,0,0,0,1
P48556,0,1,0,0,1
P48681,0,0,0,1,1
P48739,0,1,0,0,1
P49023,1,0,0,0,1
P49247,0,1,0,0,1
P49366,0,1,0,0,1
P49459,0,1,0,0,1
P49902,0,1,0,0,1
P50238,1,0,0,0,1
P50579,0,1,0,0,1
P51114,0,1,0,0,1
P51659,0,1,0,0,1
P51784,0,1,0,0,1
P52434,0,1,0,0,1
P52630,0,0,1,0,1
P53582,1,0,0,0,1
P53602,0,1,0,0,1
P55196,1,0,0,0,1
