Protein,Breast,Colon,Ewing_sarcoma,Melanoma,Ovary_patientsample,,exocarta top100,contém/não contém,,vesiclepedia top100,contém/não contém,,Vesiclepedia+exocarta,,
Q6EMB2,0,0,0,0,1,,,,,,,,O95450,,#N/D
Q6FIF0,0,0,0,0,1,,,,,,,,O95453,,#N/D
Q6GYQ0,0,0,0,0,1,,,,,,,,O95456,,6316
Q6H8Q1,0,0,0,0,1,,,,,,,,O95461,,#N/D
Q6I9Y2,0,0,0,0,1,,,,,,,,O95466,,6319
Q6IA69,0,0,0,0,1,,,,,,,,O95467,,6321
Q6ICL3,0,0,0,0,1,,,,,,,,O95470,,6332
Q6IE81,0,0,0,0,1,,,,,,,,O95471,,#N/D
Q6IN85,0,0,0,0,1,,,,,,,,O95476,,#N/D
Q6L8H4,0,0,0,0,1,,,,,,,,O95477,,6365
Q6MZP7,0,0,0,0,1,,,,,,,,O95478,,#N/D
Q6N021,0,0,0,0,1,,,,,,,,O95479,,6371
Q6NSW5,0,0,0,0,1,,,,,,,,O95484,,#N/D
Q6NWY9,0,0,0,0,1,,,,,,,,O95486,,#N/D
Q6NXE6,0,0,0,0,1,,,,,,,,O95487,,6403
Q6NXG1,0,0,0,0,1,,,,,,,,O95490,,6404
Q6NXR4,0,0,0,0,1,,,,,,,,O95497,,6405
Q6NZY4,0,0,0,0,1,,,,,,,,O95500,,6413
Q6P1K2,0,0,0,0,1,,,,,,,,O95502,,6421
Q6P1M3,0,0,0,0,1,,,,,,,,O95503,,6425
Q6P1N9,0,0,0,0,1,,,,,,,,O95544,,6428
Q6P2E9,0,0,0,0,1,,,,,,,,O95551,,6433
Q6P4F7,0,0,0,0,1,,,,,,,,O95561,,#N/D
Q6P4I2,0,0,0,0,1,,,,,,,,O95562,,#N/D
Q6P6C2,0,0,1,0,0,,,,,,,,O95563,,6463
Q6P996,0,0,0,0,1,,,,,,,,O95571,,6466
Q6P9B6,0,0,0,0,1,,,,,,,,O95573,,6469
Q6PCE3,0,0,0,0,1,,,,,,,,O95602,,6480
Q6PGP7,0,0,0,0,1,,,,,,,,O95613,,6490
Q6PI26,0,0,0,0,1,,,,,,,,O95622,,#N/D
Q6PJG2,0,0,0,0,1,,,,,,,,O95625,,#N/D
Q6PJI9,0,0,0,0,1,,,,,,,,O95626,,6513
Q6R327,0,0,0,0,1,,,,,,,,O95630,,6534
Q6RFH5,0,0,0,0,1,,,,,,,,O95631,,6535
Q6RI45,0,0,0,0,1,,,,,,,,O95633,,6536
Q6STE5,0,0,0,0,1,,,,,,,,O95644,,6541
Q6TFL4,0,0,0,0,1,,,,,,,,O95661,,6550
Q6UB98,0,0,0,0,1,,,,,,,,O95670,,6553
Q6ULP2,0,0,0,0,1,,,,,,,,O95671,,#N/D
Q6UVJ0,0,0,0,0,1,,,,,,,,O95674,,6556
Q6UWE0,0,0,0,0,1,,,,,,,,O95678,,6567
Q6UWZ7,0,0,0,0,1,,,,,,,,O95684,,#N/D
Q6V1X1,0,0,0,0,1,,,,,,,,O95696,,6628
Q6VUC0,0,0,0,0,1,,,,,,,,O95704,,#N/D
Q6WBX8,0,0,0,0,1,,,,,,,,O95707,,#N/D
Q6WCQ1,0,0,0,0,1,,,,,,,,O95711,,6637
Q6XD76,0,1,0,0,0,,,,,,,,O95714,,#N/D
Q6Y7W6,0,0,0,0,1,,,,,,,,O95716,,6651
Q6ZMI0,0,0,0,0,1,,,,,,,,O95721,,6661
Q6ZMK1,0,0,0,0,1,,,,,,,,O95741,,#N/D
Q6ZMW3,0,0,0,0,1,,,,,,,,O95747,,6673
Q6ZN04,1,0,0,0,0,,,,,,,,O95749,,6676
Q6ZN30,0,0,0,0,1,,,,,,,,O95750,,6682
Q6ZNJ1,0,0,0,0,1,,,,,,,,O95751,,6689
Q6ZNW5,0,0,0,0,1,,,,,,,,O95754,,#N/D
Q6ZP01,0,0,0,0,1,,,,,,,,O95755,,6693
Q6ZP82,0,0,0,0,1,,,,,,,,O95757,,#N/D
Q6ZRS2,0,0,0,0,1,,,,,,,,O95758,,6711
Q6ZRV2,0,0,0,0,1,,,,,,,,O95759,,6713
Q6ZS30,0,0,0,0,1,,,,,,,,O95760,,#N/D
Q6ZS81,0,0,0,0,1,,,,,,,,O95772,,6716
Q6ZU35,0,0,0,0,1,,,,,,,,O95782,,#N/D
Q6ZUX3,0,0,0,0,1,,,,,,,,O95785,,6742
Q6ZV73,0,0,0,0,1,,,,,,,,O95786,,6746
Q702N8,0,0,0,0,1,,,,,,,,O95789,,6768
Q70CQ4,0,0,0,0,1,,,,,,,,O95793,,6772
Q70Z35,0,0,0,0,1,,,,,,,,O95800,,6784
Q70Z53,0,1,0,0,0,,,,,,,,O95801,,6785
Q712K3,0,0,0,0,1,,,,,,,,O95803,,6786
Q76NI1,0,0,0,0,1,,,,,,,,O95807,,6813
Q7L266,0,0,0,0,1,,,,,,,,O95810,,6830
Q7L2J0,0,0,0,0,1,,,,,,,,O95813,,6833
Q7L5D6,0,0,0,0,1,,,,,,,,O95816,,6847
Q7L775,0,0,0,0,1,,,,,,,,O95817,,6853
Q7LBC6,0,0,0,0,1,,,,,,,,O95819,,6863
Q7RTP6,0,0,0,0,1,,,,,,,,O95825,,6876
Q7RTV0,0,0,0,0,1,,,,,,,,O95831,,6885
Q7Z2T5,0,0,0,0,1,,,,,,,,O95832,,6901
Q7Z2W4,0,0,0,0,1,,,,,,,,O95833,,6903
Q7Z2Y5,0,0,0,0,1,,,,,,,,O95834,,6907
Q7Z2Y8,0,0,0,0,1,,,,,,,,O95837,,#N/D
Q7Z2Z2,0,0,0,0,1,,,,,,,,O95838,,6909
Q7Z333,0,0,0,0,1,,,,,,,,O95841,,6911
Q7Z353,0,0,0,0,1,,,,,,,,O95857,,6912
Q7Z3K3,0,0,0,0,1,,,,,,,,O95858,,6925
Q7Z3K6,0,0,0,0,1,,,,,,,,O95861,,6926
Q7Z3V5,0,1,0,0,0,,,,,,,,O95865,,6934
Q7Z3Z4,0,0,0,0,1,,,,,,,,O95866,,6939
Q7Z460,0,0,0,1,0,,,,,,,,O95867,,6952
Q7Z478,0,0,0,0,1,,,,,,,,O95870,,6954
Q7Z4G1,0,0,0,0,1,,,,,,,,O95872,,6957
Q7Z4H7,0,0,0,0,1,,,,,,,,O95881,,6960
Q7Z4S6,0,0,0,0,1,,,,,,,,O95886,,6970
Q7Z4V0,0,0,0,0,1,,,,,,,,O95897,,#N/D
Q7Z4V5,0,0,0,0,1,,,,,,,,O95900,,6972
Q7Z4W3,0,0,0,0,1,,,,,,,,O95907,,6975
Q7Z569,0,0,0,0,1,,,,,,,,O95926,,6976
Q7Z570,1,0,0,0,0,,,,,,,,O95931,,6977
Q7Z591,0,1,0,0,0,,,,,,,,O95932,,6980
Q7Z5D8,1,0,0,0,0,,,,,,,,O95936,,#N/D
Q7Z5K2,0,0,0,0,1,,,,,,,,O95947,,6988
Q7Z6B7,0,0,0,0,1,,,,,,,,O95948,,7002
Q7Z6E9,0,0,0,0,1,,,,,,,,O95954,,7003
Q7Z6J0,0,0,0,0,1,,,,,,,,O95965,,7008
Q7Z6K5,0,0,0,0,1,,,,,,,,O95967,,7013
Q7Z6R9,0,0,0,0,1,,,,,,,,O95969,,#N/D
Q7Z7A1,0,0,0,0,1,,,,,,,,O95972,,#N/D
Q7Z7B0,1,0,0,0,0,,,,,,,,O95976,,7021
Q7Z7E8,0,0,0,0,1,,,,,,,,O95977,,#N/D
Q7Z7L9,1,0,0,0,0,,,,,,,,O95980,,#N/D
Q86SQ7,0,0,1,0,0,,,,,,,,O95983,,7048
Q86SZ2,0,0,0,0,1,,,,,,,,O95985,,7053
Q86T82,0,0,0,0,1,,,,,,,,O95988,,#N/D
Q86TB9,0,0,0,0,1,,,,,,,,O95989,,7061
Q86TI2,0,0,0,0,1,,,,,,,,O95994,,7067
Q86TP1,0,0,0,0,1,,,,,,,,O95996,,7072
Q86TU7,0,0,0,0,1,,,,,,,,O95997,,7074
Q86U44,0,0,0,0,1,,,,,,,,O95998,,7081
Q86U70,0,0,0,0,1,,,,,,,,O95999,,7082
Q86UA1,0,0,0,0,1,,,,,,,,O96000,,7085
Q86UP3,0,0,0,0,1,,,,,,,,O96005,,7099
Q86V97,0,0,0,0,1,,,,,,,,O96006,,7127
Q86VF2,0,0,0,0,1,,,,,,,,O96007,,7131
Q86VM9,0,0,0,0,1,,,,,,,,O96008,,7137
Q86VS8,0,0,0,0,1,,,,,,,,O96009,,7148
Q86VV8,0,0,0,0,1,,,,,,,,O96011,,7150
Q86VY4,0,0,0,0,1,,,,,,,,O96013,,7154
Q86W28,0,0,0,0,1,,,,,,,,O96014,,7161
Q86W42,0,0,0,0,1,,,,,,,,O96017,,7164
Q86W92,0,0,0,0,1,,,,,,,,O96019,,7168
Q86WB0,0,0,0,0,1,,,,,,,,O96020,,7171
Q86WJ1,0,0,0,0,1,,,,,,,,O96028,,7178
Q86X83,0,0,0,0,1,,,,,,,,O96033,,7194
Q86XK2,0,0,0,0,1,,,,,,,,P00156,,#N/D
Q86XW9,0,0,0,0,1,,,,,,,,P00167,,#N/D
Q86Y13,0,0,0,0,1,,,,,,,,P00325,,7216
Q86Y26,0,1,0,0,0,,,,,,,,P00326,,#N/D
Q86Y56,0,0,0,0,1,,,,,,,,P00338,,7222
Q86YV5,0,0,0,0,1,,,,,,,,P00352,,7247
Q86YW0,1,0,0,0,0,,,,,,,,P00367,,#N/D
Q86Z02,0,0,0,0,1,,,,,,,,P00374,,#N/D
Q86Z20,0,0,0,0,1,,,,,,,,P00387,,#N/D
Q8IUC4,0,0,0,0,1,,,,,,,,P00390,,7261
Q8IUF8,0,0,0,0,1,,,,,,,,P00403,,7268
Q8IUG5,0,1,0,0,0,,,,,,,,P00439,,7269
Q8IUI8,0,0,0,0,1,,,,,,,,P00441,,7274
Q8IUR0,0,0,0,0,1,,,,,,,,P00450,,7278
Q8IUX4,0,1,0,0,0,,,,,,,,P00451,,7283
Q8IVD9,0,0,0,0,1,,,,,,,,P00480,,7298
Q8IVG5,0,0,0,0,1,,,,,,,,P00488,,7305
Q8IVL0,0,0,0,0,1,,,,,,,,P00491,,7310
Q8IVM0,1,0,0,0,0,,,,,,,,P00492,,7315
Q8IVV2,0,0,0,0,1,,,,,,,,P00505,,7323
Q8IWA0,0,0,0,0,1,,,,,,,,P00519,,7332
Q8IWB7,0,0,0,0,1,,,,,,,,P00533,,7337
Q8IWE2,0,0,0,0,1,,,,,,,,P00540,,7342
Q8IWI9,0,0,0,0,1,,,,,,,,P00558,,7347
Q8IWR0,0,0,0,0,1,,,,,,,,P00568,,#N/D
Q8IWS0,0,0,0,0,1,,,,,,,,P00709,,7353
Q8IWV7,0,0,0,0,1,,,,,,,,P00734,,7361
Q8IWZ3,0,0,0,0,1,,,,,,,,P00736,,7369
Q8IX01,0,0,0,0,1,,,,,,,,P00738,,7370
Q8IX07,0,0,0,0,1,,,,,,,,P00739,,7374
Q8IXH7,0,0,0,0,1,,,,,,,,P00740,,7380
Q8IXJ9,0,0,0,0,1,,,,,,,,P00742,,7383
Q8IXT5,0,0,0,0,1,,,,,,,,P00746,,7397
Q8IY21,0,0,0,0,1,,,,,,,,P00747,,7404
Q8IY67,0,0,0,0,1,,,,,,,,P00748,,#N/D
Q8IY81,0,0,0,0,1,,,,,,,,P00749,,7414
Q8IYB3,0,0,0,0,1,,,,,,,,P00750,,7420
Q8IYH5,0,0,0,0,1,,,,,,,,P00751,,#N/D
Q8IYI6,0,0,0,0,1,,,,,,,,P00797,,7430
Q8IYL3,0,0,0,0,1,,,,,,,,P00813,,7437
Q8IYR0,0,0,0,0,1,,,,,,,,P00846,,7443
Q8IYS1,0,0,0,0,1,,,,,,,,P00915,,7445
Q8IYT3,0,0,0,0,1,,,,,,,,P00918,,7449
Q8IZ21,0,0,0,0,1,,,,,,,,P00966,,7461
Q8IZC4,0,0,0,0,1,,,,,,,,P00973,,#N/D
Q8IZQ5,0,0,0,0,1,,,,,,,,P00995,,#N/D
Q8IZX4,0,0,0,0,1,,,,,,,,P01008,,7498
Q8N0W3,0,0,0,0,1,,,,,,,,P01009,,7506
Q8N103,0,0,0,0,1,,,,,,,,P01011,,#N/D
Q8N108,0,0,0,0,1,,,,,,,,P01019,,#N/D
Q8N157,0,0,0,0,1,,,,,,,,P01023,,7527
Q8N1G0,0,0,0,0,1,,,,,,,,P01024,,7538
Q8N1G1,0,0,0,0,1,,,,,,,,P01031,,7539
Q8N1Q1,0,0,0,0,1,,,,,,,,P01033,,7548
Q8N257,0,0,0,0,1,,,,,,,,P01034,,7551
Q8N264,0,0,0,0,1,,,,,,,,P01036,,7552
Q8N393,0,1,0,0,0,,,,,,,,P01037,,7587
Q8N3C0,0,0,0,0,1,,,,,,,,P01040,,7589
Q8N3K9,0,0,0,0,1,,,,,,,,P01042,,7594
Q8N4C6,0,0,0,0,1,,,,,,,,P01106,,7623
Q8N4J0,0,0,0,0,1,,,,,,,,P01111,,#N/D
Q8N4X5,0,0,0,0,1,,,,,,,,P01112,,7643
Q8N556,0,0,0,0,1,,,,,,,,P01116,,7646
Q8N5F7,0,0,0,0,1,,,,,,,,P01130,,#N/D
Q8N5L8,0,0,0,0,1,,,,,,,,P01133,,#N/D
Q8N5R6,0,0,0,0,1,,,,,,,,P01135,,7672
Q8N684,0,0,0,0,1,,,,,,,,P01137,,7683
Q8N6T3,0,0,0,0,1,,,,,,,,P01138,,7700
Q8N6T7,0,0,0,0,1,,,,,,,,P01178,,7701
Q8N7A1,0,0,0,0,1,,,,,,,,P01210,,#N/D
Q8N7H5,0,0,0,0,1,,,,,,,,P01213,,7711
Q8N7X1,0,0,0,0,1,,,,,,,,P01242,,7717
Q8N7Z5,0,0,0,0,1,,,,,,,,P01258,,7718
Q8N806,0,0,0,0,1,,,,,,,,P01266,,7720
Q8N895,0,0,0,0,1,,,,,,,,P01275,,#N/D
Q8N8A6,0,0,0,0,1,,,,,,,,P01286,,7725
Q8N8E3,0,0,0,0,1,,,,,,,,P01298,,#N/D
Q8N9N2,0,0,0,0,1,,,,,,,,P01308,,#N/D
Q8N9T8,0,0,0,0,1,,,,,,,,P01344,,#N/D
Q8N9V7,0,0,0,0,1,,,,,,,,P01375,,#N/D
Q8NAP3,0,1,0,0,0,,,,,,,,P01563,,#N/D
Q8NAV1,0,0,0,0,1,,,,,,,,P01579,,7784
Q8NB78,0,0,0,0,1,,,,,,,,P01583,,#N/D
Q8NCA5,0,0,0,0,1,,,,,,,,P01588,,7829
Q8NCF5,0,0,0,0,1,,,,,,,,P01589,,#N/D
Q8ND04,0,0,0,1,0,,,,,,,,P01591,,7854
Q8ND56,0,0,0,0,1,,,,,,,,P01602,,7859
Q8ND82,0,0,0,0,1,,,,,,,,P01619,,#N/D
Q8NDF8,0,0,0,0,1,,,,,,,,P01699,,7868
Q8NDH3,0,0,0,0,1,,,,,,,,P01703,,7870
Q8NDI1,0,0,0,0,1,,,,,,,,P01704,,7872
Q8NDT2,0,0,0,0,1,,,,,,,,P01706,,7876
Q8NDV3,0,0,0,0,1,,,,,,,,P01730,,7877
Q8NDY6,0,0,0,0,1,,,,,,,,P01732,,#N/D
Q8NEF9,0,0,0,0,1,,,,,,,,P01742,,7898
Q8NEH6,0,0,0,0,1,,,,,,,,P01762,,7900
Q8NEV8,0,0,0,0,1,,,,,,,,P01764,,7915
Q8NEY1,0,0,0,0,1,,,,,,,,P01780,,7918
Q8NEZ4,0,0,0,0,1,,,,,,,,P01833,,7922
Q8NFA0,0,0,0,0,1,,,,,,,,P01834,,7928
Q8NFC6,0,0,0,0,1,,,,,,,,P01857,,7929
Q8NFD5,0,0,0,0,1,,,,,,,,P01859,,7930
Q8NFH3,0,0,0,0,1,,,,,,,,P01860,,7933
Q8NFH4,0,0,0,0,1,,,,,,,,P01861,,7934
Q8NFI3,0,0,0,0,1,,,,,,,,P01871,,7937
Q8NFI4,1,0,0,0,0,,,,,,,,P01876,,7938
Q8NFU3,0,0,0,0,1,,,,,,,,P01877,,7952
Q8NFW8,0,0,0,0,1,,,,,,,,P01889,,7957
Q8NFZ0,0,0,0,0,1,,,,,,,,P01893,,#N/D
Q8NG50,0,0,0,0,1,,,,,,,,P01903,,7969
Q8NHM5,0,0,0,0,1,,,,,,,,P01906,,8016
Q8NHQ1,0,0,0,0,1,,,,,,,,P01909,,#N/D
Q8NHQ9,0,0,0,0,1,,,,,,,,P01911,,8020
Q8NHS2,0,0,0,0,1,,,,,,,,P01920,,8021
Q8NI27,0,0,0,0,1,,,,,,,,P02008,,8035
Q8NI36,0,0,0,0,1,,,,,,,,P02042,,8038
Q8TAC2,0,0,0,0,1,,,,,,,,P02100,,8046
Q8TBC3,0,0,0,0,1,,,,,,,,P02144,,8078
Q8TBY9,0,0,0,0,1,,,,,,,,P02452,,8092
Q8TBZ3,0,0,0,0,1,,,,,,,,P02458,,8095
Q8TD19,0,0,0,0,1,,,,,,,,P02461,,8133
Q8TDD2,0,1,0,0,0,,,,,,,,P02462,,#N/D
Q8TDN6,0,0,0,0,1,,,,,,,,P02489,,8156
Q8TDP1,0,0,0,0,1,,,,,,,,P02511,,8157
Q8TDQ7,0,1,0,0,0,,,,,,,,P02533,,8159
Q8TDY2,0,0,0,0,1,,,,,,,,P02538,,8173
Q8TDZ2,0,0,0,0,1,,,,,,,,P02545,,8174
Q8TE77,0,0,0,0,1,,,,,,,,P02549,,8186
Q8TE85,0,0,0,0,1,,,,,,,,P02585,,#N/D
Q8TEB1,0,0,0,0,1,,,,,,,,P02647,,#N/D
Q8TED0,0,0,0,0,1,,,,,,,,P02649,,8192
Q8TEK3,0,0,0,0,1,,,,,,,,P02652,,8198
Q8TEP8,0,0,0,0,1,,,,,,,,P02654,,#N/D
Q8TEW8,0,0,0,0,1,,,,,,,,P02655,,8208
Q8TF05,0,0,0,0,1,,,,,,,,P02656,,8211
Q8TF09,1,0,0,0,0,,,,,,,,P02671,,8213
Q8TF68,0,0,0,0,1,,,,,,,,P02675,,8224
Q8WTS6,0,0,0,0,1,,,,,,,,P02679,,8233
Q8WU79,0,0,0,0,1,,,,,,,,P02686,,8244
Q8WUA2,0,0,0,0,1,,,,,,,,P02708,,8246
Q8WUA4,0,0,0,0,1,,,,,,,,P02724,,8247
Q8WUB8,0,0,0,0,1,,,,,,,,P02730,,8250
Q8WUD4,0,0,0,0,1,,,,,,,,P02741,,8252
Q8WUM0,0,0,0,0,1,,,,,,,,P02743,,8263
Q8WUN7,0,1,0,0,0,,,,,,,,P02745,,8266
Q8WUP2,0,0,0,0,1,,,,,,,,P02746,,8267
Q8WUX9,0,0,0,0,1,,,,,,,,P02747,,8272
Q8WV22,0,0,0,0,1,,,,,,,,P02748,,8278
Q8WVC0,0,0,0,0,1,,,,,,,,P02749,,8290
Q8WVM7,0,1,0,0,0,,,,,,,,P02750,,8298
Q8WVV4,0,0,0,0,1,,,,,,,,P02751,,8307
Q8WVV9,0,0,0,0,1,,,,,,,,P02753,,8309
Q8WW22,0,0,0,0,1,,,,,,,,P02760,,8314
Q8WW59,0,0,0,0,1,,,,,,,,P02763,,8319
Q8WWQ0,0,0,0,0,1,,,,,,,,P02765,,8339
Q8WWY3,0,0,0,0,1,,,,,,,,P02766,,8349
Q8WXA3,0,0,0,0,1,,,,,,,,P02768,,8359
Q8WXA9,0,0,0,0,1,,,,,,,,P02771,,8360
Q8WXC6,0,1,0,0,0,,,,,,,,P02774,,8362
Q8WXD5,0,0,0,0,1,,,,,,,,P02775,,#N/D
Q8WXG6,0,0,0,0,1,,,,,,,,P02776,,8371
Q8WXI9,0,0,0,0,1,,,,,,,,P02786,,8380
Q8WXX0,0,0,0,0,1,,,,,,,,P02787,,8387
Q8WY36,0,0,0,0,1,,,,,,,,P02788,,8393
Q8WYA0,0,0,0,0,1,,,,,,,,P02790,,8396
Q8WYA1,0,0,1,0,0,,,,,,,,P02792,,8397
Q8WYA6,0,0,0,0,1,,,,,,,,P02794,,8398
Q8WYB5,0,0,1,0,0,,,,,,,,P02795,,#N/D
Q8WYP3,0,0,0,0,1,,,,,,,,P02808,,8401
Q8WZ64,0,0,0,0,1,,,,,,,,P02810,,8408
Q92466,0,1,0,0,0,,,,,,,,P02814,,8421
Q92503,0,0,0,0,1,,,,,,,,P02818,,8428
Q92530,0,0,0,0,1,,,,,,,,P03372,,8438
Q92540,0,0,0,0,1,,,,,,,,P03886,,#N/D
Q92541,0,0,0,0,1,,,,,,,,P03891,,#N/D
Q92547,0,0,0,0,1,,,,,,,,P03905,,#N/D
Q92560,0,0,0,0,1,,,,,,,,P03915,,#N/D
Q92564,0,0,0,0,1,,,,,,,,P03928,,8451
Q92565,0,0,0,0,1,,,,,,,,P03950,,8452
Q92585,0,1,0,0,0,,,,,,,,P03951,,8460
Q92600,0,0,0,0,1,,,,,,,,P03952,,8463
Q92615,0,0,0,0,1,,,,,,,,P03956,,8470
Q92618,0,0,0,0,1,,,,,,,,P03971,,8472
Q92620,0,0,0,0,1,,,,,,,,P03973,,8474
Q92625,0,0,0,0,1,,,,,,,,P04001,,8479
Q92636,0,0,0,0,1,,,,,,,,P04003,,#N/D
Q92782,0,0,0,0,1,,,,,,,,P04004,,#N/D
Q92786,0,0,0,0,1,,,,,,,,P04035,,#N/D
Q92793,0,0,0,0,1,,,,,,,,P04040,,#N/D
Q92800,0,0,0,0,1,,,,,,,,P04049,,#N/D
Q92834,0,0,0,0,1,,,,,,,,P04053,,8528
Q92845,0,0,0,0,1,,,,,,,,P04062,,8534
Q92878,0,0,0,0,1,,,,,,,,P04066,,8539
Q92879,0,0,0,0,1,,,,,,,,P04075,,8540
Q92888,0,0,0,0,1,,,,,,,,P04080,,8543
Q92890,0,0,0,0,1,,,,,,,,P04083,,8545
Q92989,0,0,0,0,1,,,,,,,,P04085,,#N/D
Q92990,0,0,0,0,1,,,,,,,,P04114,,8571
Q92995,0,0,0,0,1,,,,,,,,P04118,,8573
Q92997,0,0,0,0,1,,,,,,,,P04141,,#N/D
Q969E4,0,0,0,0,1,,,,,,,,P04150,,8593
Q969G3,0,0,0,0,1,,,,,,,,P04155,,8596
Q969M7,0,0,0,0,1,,,,,,,,P04156,,#N/D
Q969R5,0,0,0,0,1,,,,,,,,P04179,,8618
Q969R8,0,0,0,0,1,,,,,,,,P04180,,8619
Q969S3,0,0,0,0,1,,,,,,,,P04181,,8620
Q969T9,0,0,0,0,1,,,,,,,,P04183,,8623
Q969X6,0,0,0,0,1,,,,,,,,P04196,,8636
Q96A65,0,0,0,0,1,,,,,,,,P04198,,8652
Q96AB3,0,0,0,0,1,,,,,,,,P04216,,8657
Q96AQ6,0,0,0,0,1,,,,,,,,P04217,,8672
Q96AY4,0,0,0,0,1,,,,,,,,P04233,,8680
Q96AZ6,0,0,0,0,1,,,,,,,,P04234,,8681
Q96B01,0,0,0,0,1,,,,,,,,P04259,,8682
Q96BH1,0,0,0,0,1,,,,,,,,P04264,,8696
Q96BJ3,0,0,0,0,1,,,,,,,,P04271,,8700
Q96BN8,0,0,0,0,1,,,,,,,,P04275,,8704
Q96BP3,0,0,0,0,1,,,,,,,,P04278,,8705
Q96C01,0,0,0,0,1,,,,,,,,P04279,,8720
Q96CD2,0,0,0,0,1,,,,,,,,P04280,,#N/D
Q96CW5,0,0,0,0,1,,,,,,,,P04350,,8753
Q96D46,0,0,0,0,1,,,,,,,,P04406,,8759
Q96DB5,0,0,0,0,1,,,,,,,,P04424,,8767
Q96DC9,0,0,0,0,1,,,,,,,,P04439,,8770
Q96DE0,0,0,0,0,1,,,,,,,,P04440,,8772
Q96DN6,0,0,0,0,1,,,,,,,,P04626,,8780
Q96DT7,0,0,0,0,1,,,,,,,,P04628,,8787
Q96EE3,0,0,0,0,1,,,,,,,,P04629,,8807
Q96EI5,0,0,0,0,1,,,,,,,,P04632,,#N/D
Q96EP0,0,0,0,0,1,,,,,,,,P04637,,8820
Q96EP1,0,0,0,0,1,,,,,,,,P04731,,#N/D
Q96ER3,0,0,0,0,1,,,,,,,,P04732,,8824
Q96ES7,0,0,0,0,1,,,,,,,,P04733,,8826
Q96F44,0,0,0,0,1,,,,,,,,P04746,,#N/D
Q96F86,0,0,0,0,1,,,,,,,,P04792,,8843
Q96FC7,0,0,0,0,1,,,,,,,,P04798,,8846
Q96FX7,0,0,0,0,1,,,,,,,,P04818,,8863
Q96G25,0,0,0,0,1,,,,,,,,P04839,,8872
Q96GA7,0,0,0,0,1,,,,,,,,P04843,,8879
Q96GD4,0,0,0,0,1,,,,,,,,P04844,,8884
Q96GN5,0,0,0,0,1,,,,,,,,P04899,,8891
Q96GQ7,0,0,0,0,1,,,,,,,,P04908,,8893
Q96H79,0,0,0,0,1,,,,,,,,P04920,,8904
Q96HA7,0,0,0,0,1,,,,,,,,P04921,,#N/D
Q96HA8,0,0,0,0,1,,,,,,,,P05023,,8908
Q96HE9,0,0,0,0,1,,,,,,,,P05026,,#N/D
Q96HQ2,0,0,0,0,1,,,,,,,,P05060,,8924
Q96HR3,0,0,0,0,1,,,,,,,,P05062,,8925
Q96HR8,0,0,0,0,1,,,,,,,,P05067,,#N/D
Q96HW7,0,0,0,0,1,,,,,,,,P05089,,8931
Q96I25,0,0,0,0,1,,,,,,,,P05090,,8937
Q96IK5,0,0,0,0,1,,,,,,,,P05091,,8946
Q96IV0,0,0,0,0,1,,,,,,,,P05093,,8952
Q96J01,0,0,0,0,1,,,,,,,,P05106,,8957
Q96J92,0,0,1,0,0,,,,,,,,P05107,,#N/D
Q96JB5,0,0,0,0,1,,,,,,,,P05109,,8969
Q96JD6,0,0,0,0,1,,,,,,,,P05112,,8972
Q96JG9,0,0,0,0,1,,,,,,,,P05113,,8977
Q96JH7,0,0,0,0,1,,,,,,,,P05114,,8978
Q96JH8,0,1,0,0,0,,,,,,,,P05120,,8979
Q96JM3,0,0,0,0,1,,,,,,,,P05121,,8986
Q96JP2,0,1,0,0,0,,,,,,,,P05129,,8992
Q96JY6,0,0,0,0,1,,,,,,,,P05141,,8996
Q96K76,0,0,0,0,1,,,,,,,,P05154,,9004
Q96K83,0,0,1,0,0,,,,,,,,P05155,,9006
Q96KB5,0,0,0,0,1,,,,,,,,P05156,,9008
Q96KN1,0,0,0,0,1,,,,,,,,P05160,,9016
Q96KP1,0,0,0,0,1,,,,,,,,P05161,,9019
Q96L73,0,0,0,0,1,,,,,,,,P05162,,9038
Q96L91,0,0,0,0,1,,,,,,,,P05164,,9039
Q96LA8,0,0,0,0,1,,,,,,,,P05165,,#N/D
Q96LD8,0,0,0,0,1,,,,,,,,P05166,,9048
Q96LI5,0,0,0,0,1,,,,,,,,P05177,,9049
Q96M02,0,0,0,0,1,,,,,,,,P05181,,9061
Q96M27,0,0,0,0,1,,,,,,,,P05186,,9063
Q96M96,0,0,0,0,1,,,,,,,,P05187,,9070
Q96ME7,0,0,0,0,1,,,,,,,,P05198,,9073
Q96MF7,0,0,0,0,1,,,,,,,,P05204,,9075
Q96MI9,0,0,0,0,1,,,,,,,,P05230,,9080
Q96MN9,0,1,0,0,0,,,,,,,,P05231,,9086
Q96MU7,0,0,0,0,1,,,,,,,,P05305,,9092
Q96MY1,0,0,0,0,1,,,,,,,,P05362,,9097
Q96N20,0,0,0,0,1,,,,,,,,P05386,,#N/D
Q96N23,0,0,0,0,1,,,,,,,,P05387,,9102
Q96N96,0,0,0,0,1,,,,,,,,P05388,,9109
Q96NC0,0,0,0,0,1,,,,,,,,P05408,,#N/D
Q96NJ3,1,0,0,0,0,,,,,,,,P05413,,#N/D
Q96NL6,0,0,0,0,1,,,,,,,,P05451,,#N/D
Q96P47,0,0,0,0,1,,,,,,,,P05452,,9137
Q96PE6,1,0,0,0,0,,,,,,,,P05455,,#N/D
