Protein,Breast,Colon,Ewing_sarcoma,Melanoma,Ovary_patientsample,,exocarta top100,contém/não contém,,vesiclepedia top100,contém/não contém,,Vesiclepedia+exocarta,,
Q15717,1,1,0,1,1,,Q5JWF2,#N/D,,P21333,#N/D,,A4FU01,,5441
Q1KMD3,1,0,1,1,1,,P51148,#N/D,,P22314,#N/D,,A4FU69,,5610
Q8NE71,1,1,1,0,1,,P84077,#N/D,,O95467,#N/D,,A4GXA9,,7890
Q8TEA8,1,1,1,0,1,,P08133,#N/D,,P63092,#N/D,,A4UGR9,,8190
Q92841,1,1,1,0,1,,P50995,#N/D,,P84996,#N/D,,A5A3E0,,8532
Q92945,1,0,1,1,1,,P63261,#N/D,,Q5JWF2,#N/D,,A5D8T8,,8561
Q96AE4,1,1,1,0,1,,Q14974,#N/D,,P06396,#N/D,,A5D8V6,,8661
Q96HC4,1,1,1,0,1,,P15311,#N/D,,P50991,#N/D,,A5D8W1,,8911
Q9BXJ9,1,1,1,0,1,,P09525,#N/D,,P62826,#N/D,,A5LHX3,,9727
Q9BZZ5,1,1,0,1,1,,P53396,#N/D,,P32119,#N/D,,A5PKW4,,9875
Q9UKY7,1,0,1,1,1,,Q9BQE3,#N/D,,P61586,#N/D,,A5PL33,,11446
Q9UN86,1,0,1,1,1,,P02786,#N/D,,P49368,#N/D,,A5PLL1,,11574
Q9UNZ2,1,1,1,0,1,,P61106,#N/D,,P63000,#N/D,,A5PLL7,,11600
Q9Y5B9,1,1,1,0,1,,P62873,#N/D,,Q08380,#N/D,,A5PLN7,,11945
Q9Y5S9,1,0,1,1,1,,P07996,#N/D,,P17987,#N/D,,A5PLN9,,11988
E9PAV3,1,1,0,0,1,,P62826,#N/D,,P13645,#N/D,,A5YKK6,,236
O00303,1,1,0,0,1,,P20339,#N/D,,Q01518,#N/D,,A5YM72,,290
O00410,1,1,0,0,1,,Q9P2B2,#N/D,,Q13114,#N/D,,A6BM72,,307
O00471,1,0,1,0,1,,P48643,#N/D,,P51149,#N/D,,A6H8M9,,327
O14974,1,1,0,0,1,,P49368,#N/D,,P68371,#N/D,,A6H8Y1,,499
O15055,1,1,0,0,1,,P23526,#N/D,,P11021,#N/D,,A6NC57,,#N/D
O15212,1,0,1,0,1,,P22314,#N/D,,P46940,#N/D,,A6NC98,,565
O15371,1,1,0,0,1,,P61020,#N/D,,P06744,#N/D,,A6NCE7,,600
O43143,1,1,0,0,1,,P62820,#N/D,,P11233,#N/D,,A6NCF5,,644
O43252,1,1,0,0,1,,P13473,#N/D,,Q14974,#N/D,,A6NCI4,,669
O43396,1,1,0,0,1,,P23229,#N/D,,P02786,#N/D,,A6NCN2,,700
O43447,1,1,0,0,1,,P35613,#N/D,,P60842,#N/D,,A6NCS4,,711
O60506,1,1,0,0,1,,Q04917,#N/D,,P62805,#N/D,,A6NCS6,,893
O60869,1,0,1,0,1,,Q71U36,#N/D,,P50990,#N/D,,A6NCV1,,955
O75312,1,1,0,0,1,,P29401,#N/D,,Q9Y490,#N/D,,A6NCW0,,1044
O75533,0,1,1,0,1,,Q16832,#N/D,,P40227,#N/D,,A6ND91,,1113
O75663,0,1,1,0,1,,P17987,#N/D,,P50995,#N/D,,A6NDG6,,1141
O75821,1,1,0,0,1,,P27105,#N/D,,,,,A6NDK9,,1169
O76003,1,1,0,0,1,,P53985,#N/D,,,,,A6NDU8,,1215
O76021,0,1,1,0,1,,P61006,#N/D,,,,,A6NDV4,,1221
O95373,1,1,0,0,1,,P35579,#N/D,,,,,A6NE01,,1388
O95834,1,1,0,0,1,,Q14764,#N/D,,,,,A6NE02,,1488
O95861,1,1,0,0,1,,,,,,,,A6NEF3,,1494
O96019,1,1,0,0,1,,,,,,,,A6NEQ2,,1538
P06132,1,1,0,0,1,,,,,,,,A6NFN9,,1848
P08243,1,1,0,0,1,,,,,,,,A6NFQ2,,1961
P08621,1,0,1,0,1,,,,,,,,A6NFX1,,1988
P08708,1,1,0,0,1,,,,,,,,A6NFZ4,,1995
P14678,1,1,0,0,1,,,,,,,,A6NGB9,,2380
P18124,1,1,0,0,1,,,,,,,,A6NGE7,,2551
P18754,1,1,0,0,1,,,,,,,,A6NGH8,,2566
P19623,1,0,0,1,1,,,,,,,,A6NGJ6,,2599
P20042,0,0,1,1,1,,,,,,,,A6NGU5,,2617
P20700,1,1,1,0,0,,,,,,,,A6NGY5,,2646
P20810,0,1,0,1,1,,,,,,,,A6NH00,,2657
P24534,1,1,1,0,0,,,,,,,,A6NH21,,2812
P26358,1,1,0,0,1,,,,,,,,A6NHG4,,2865
P26640,1,1,0,0,1,,,,,,,,A6NHL2,,2878
P27635,1,1,0,0,1,,,,,,,,A6NHN0,,2901
P27694,1,1,0,0,1,,,,,,,,A6NHQ2,,2903
P29144,1,1,0,0,1,,,,,,,,A6NHR9,,2958
P29692,1,1,0,0,1,,,,,,,,A6NHY2,,2985
P31153,1,1,0,0,1,,,,,,,,A6NI47,,3055
P31943,1,1,0,0,1,,,,,,,,A6NI56,,3082
P32969,1,1,0,0,1,,,,,,,,A6NI61,,3114
P33991,0,1,1,0,1,,,,,,,,A6NI73,,3131
P33992,1,1,0,0,1,,,,,,,,A6NI79,,3132
P33993,0,1,1,0,1,,,,,,,,A6NIH7,,3133
P35637,1,1,0,0,1,,,,,,,,A6NIM6,,3208
P40429,1,1,0,0,1,,,,,,,,A6NIR3,,3322
P41227,1,0,1,0,1,,,,,,,,A6NIX2,,3353
P42285,0,1,1,0,1,,,,,,,,A6NJ08,,3379
P42677,1,0,1,0,1,,,,,,,,A6NJL1,,3392
P42766,1,1,0,0,1,,,,,,,,A6NK02,,3405
P43243,0,1,1,0,1,,,,,,,,A6NK06,,3429
P43686,1,1,0,0,1,,,,,,,,A6NK75,,3456
P45974,1,1,0,0,1,,,,,,,,A6NKF1,,3468
P46459,1,1,0,0,1,,,,,,,,A6NKG5,,3486
P46776,1,1,0,0,1,,,,,,,,A6NKL6,,3490
P46778,1,1,0,0,1,,,,,,,,A6NKQ9,,3492
P46783,0,1,1,0,1,,,,,,,,A6NL88,,3496
P47914,1,0,1,0,1,,,,,,,,A6NLJ0,,3518
P48147,1,1,0,0,1,,,,,,,,A6NM36,,3534
P49354,1,1,0,0,1,,,,,,,,A6NMB9,,3596
P49454,0,1,1,0,1,,,,,,,,A6NMD2,,3608
P49458,1,0,1,0,1,,,,,,,,A6NMK8,,3609
P49736,0,1,1,0,1,,,,,,,,A6NMS7,,3626
P49915,1,1,0,0,1,,,,,,,,A6NMX2,,3665
P51991,1,1,1,0,0,,,,,,,,A6NMY6,,3795
P52292,1,1,0,0,1,,,,,,,,A6NMZ2,,3800
P52597,1,1,0,0,1,,,,,,,,A6NMZ7,,3812
P54725,1,1,0,0,1,,,,,,,,A6NN14,,3905
P55036,1,1,0,0,1,,,,,,,,A6NNA2,,3931
P55263,1,1,0,0,1,,,,,,,,A6NNA5,,3960
P55327,0,1,1,0,1,,,,,,,,A6NNM3,,3968
P61289,1,1,0,0,1,,,,,,,,A6NNN8,,4140
P61313,1,1,0,0,1,,,,,,,,A6NNP5,,4141
P61758,1,1,0,0,1,,,,,,,,A6NP11,,4157
P62266,1,1,0,0,1,,,,,,,,A6NP61,,4190
P62306,1,1,0,0,1,,,,,,,,A6PVS8,,4196
P62310,1,1,0,0,1,,,,,,,,A6QL63,,4198
P62314,1,1,0,0,1,,,,,,,,A6QL64,,4200
