Protein,Breast,Colon,Ewing_sarcoma,Melanoma,Ovary_patientsample
O95819,0,0,0,0,1
O95825,0,0,0,0,1
O95848,0,0,0,0,1
O95983,0,0,0,0,1
O95985,0,0,0,0,1
O95996,0,0,0,0,1
O95999,0,0,0,0,1
O96006,0,0,0,0,1
O96013,0,0,0,0,1
O96017,0,0,0,0,1
O96018,0,0,0,0,1
O96028,0,0,0,0,1
P00439,1,0,0,0,0
P02100,1,0,0,0,0
P04198,0,0,0,0,1
P04731,0,0,0,0,1
P04733,0,0,0,0,1
P05423,0,0,0,0,1
P05549,1,0,0,0,0
P05813,1,0,0,0,0
P06400,0,0,0,0,1
P07197,0,0,0,0,1
P07305,0,0,0,0,1
P07438,0,0,0,0,1
P07902,0,0,0,0,1
P08047,1,0,0,0,0
P08651,0,0,0,0,1
P09132,0,0,0,0,1
P09234,0,0,0,0,1
P09488,0,0,0,0,1
P09884,0,0,0,0,1
P0C7H9,0,1,0,0,0
P0C7P3,0,0,0,0,1
P0C7V8,0,0,0,0,1
P0DI83,0,0,1,0,0
P0DMM9,0,0,0,0,1
P0DN76,0,0,0,0,1
P0DN79,0,0,0,0,1
P10071,0,0,0,0,1
P10074,0,0,0,0,1
P10243,0,0,0,0,1
P10244,0,0,0,0,1
P10911,0,0,0,0,1
P11171,0,0,0,0,1
P11172,0,0,0,0,1
P11441,0,0,0,0,1
P11926,0,0,0,0,1
P12755,0,0,0,0,1
P13533,0,0,0,0,1
P13640,0,0,0,0,1
P13807,0,0,0,0,1
P13984,0,0,0,0,1
P15408,0,0,0,0,1
P15882,0,0,0,0,1
P15884,1,0,0,0,0
P15918,0,0,0,0,1
P16401,0,0,0,0,1
P16402,0,0,0,0,1
P16455,0,0,0,0,1
P17010,0,0,0,0,1
P18583,0,0,0,0,1
P18615,0,0,0,0,1
P18846,0,0,0,0,1
P18887,0,0,0,0,1
P19174,0,0,0,0,1
P19387,0,0,0,0,1
P19484,0,0,0,0,1
P19525,0,0,0,0,1
P20248,0,0,0,0,1
P20393,0,0,1,0,0
P21359,0,0,0,0,1
P22528,0,0,0,0,1
P22531,0,0,0,0,1
P22670,0,0,0,0,1
P22676,1,0,0,0,0
P23258,0,0,0,0,1
P23490,0,0,0,0,1
P24386,0,0,0,0,1
P24863,0,0,0,0,1
P24864,0,0,0,0,1
P24928,0,0,0,0,1
P24941,0,1,0,0,0
P25205,0,1,0,0,0
P25440,0,0,0,0,1
P25490,0,0,0,0,1
P27986,0,0,0,0,1
P28289,0,0,0,0,1
P28347,0,0,0,0,1
P28358,0,0,0,0,1
P28702,0,0,0,0,1
P28749,0,0,0,0,1
P29558,0,0,0,0,1
P29762,0,0,0,0,1
P30260,0,0,0,0,1
P30519,0,0,0,0,1
P31150,0,1,0,0,0
P31268,0,0,0,0,1
P31483,0,0,0,0,1
P31629,0,0,0,0,1
P32314,0,0,0,0,1
P35219,0,0,0,0,1
P35227,0,0,0,0,1
P35244,0,0,0,0,1
P35249,0,0,0,0,1
P35250,0,0,0,0,1
P35658,0,0,0,0,1
P35659,0,0,0,0,1
P35663,0,0,0,0,1
P35712,0,0,0,0,1
P36402,0,0,0,0,1
P36954,0,0,0,0,1
P37198,0,0,0,0,1
P37275,0,0,0,0,1
